iterations	171
elapsed_seconds	500.2692759037018
initialization_seconds	0.24017906188964844
initial_lower_residual	8.77845263147492e-9
initial_upper_residual	9.972599634977541e-9
initial_upper_iterations	162
initial_upper_bound	fully_observable
initial_lower_subsolution_shift	0.0
root_lower	6.202428669286823
root_upper	6.456821267205038
root_gap	0.25439259791821556
alpha_count	7
belief_count	5931808
stop_reason	max_time
julia_version	1.12.6
native_sarsop_version	0.1.4
pomdps_version	1.0.0
pomdp_tools_version	1.1.0
