mdp_seed,epsilon,normal_value,restricted_value,delta_w,violation_count
1746243620,0.01,3.7398896166536915,3.7398896166536915,0.0,0
1746243620,0.02,3.7276218293925902,3.7276218293925902,0.0,0
1746243620,0.03,3.7152168396234364,3.7152168396234364,0.0,0
1746243620,0.04,3.7026728638333424,3.7026728638333424,0.0,0
1746243620,0.05,3.689988081600432,3.689988081600432,0.0,0
1746243620,0.06,3.6773001585684097,3.671002512083474,0.006297646484935804,2
1746243620,0.07,3.6647560020933754,3.658013041043379,0.006742961049996499,2
1746243620,0.08,3.6564352192970393,3.576955884368691,0.07947933492834824,82
1746243620,0.09,3.6482160668630867,3.56367393398988,0.08454213287320655,82
1746243620,0.1,3.6397731819832924,3.5502414552546933,0.0895317267285991,85
